2025-12-26 10:16:48.849 [main] INFO  c.w.s.SchoolBackgroundServiceSystemApplication - Starting SchoolBackgroundServiceSystemApplication using Java 21.0.2 on 梦中情姬 with PID 25732 (D:\project\JavaWeb\SpringBoot\School_background_service_system\target\classes started by lin_tanoxi in D:\project\JavaWeb\SpringBoot\School_background_service_system)
2025-12-26 10:17:54.826 [http-nio-8081-exec-6] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - 用户已登录，token:Bearer eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTUsImV4cCI6MTgzODcxNTQ3NH0.fdBEbeHgp3eqW7dRIgkgFNWIWaonVgU5KOld3MJyJmM
2025-12-26 10:17:54.826 [http-nio-8081-exec-5] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验:eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTUsImV4cCI6MTgzODcxNTQ3NH0.fdBEbeHgp3eqW7dRIgkgFNWIWaonVgU5KOld3MJyJmM
2025-12-26 10:17:54.826 [http-nio-8081-exec-8] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验:eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTUsImV4cCI6MTgzODcxNTQ3NH0.fdBEbeHgp3eqW7dRIgkgFNWIWaonVgU5KOld3MJyJmM
2025-12-26 10:17:54.826 [http-nio-8081-exec-6] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验:eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTUsImV4cCI6MTgzODcxNTQ3NH0.fdBEbeHgp3eqW7dRIgkgFNWIWaonVgU5KOld3MJyJmM
2025-12-26 10:17:54.827 [http-nio-8081-exec-6] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验成功:{id=15, exp=1838715474}
2025-12-26 10:17:54.827 [http-nio-8081-exec-5] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验成功:{id=15, exp=1838715474}
2025-12-26 10:17:54.827 [http-nio-8081-exec-8] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验成功:{id=15, exp=1838715474}
2025-12-26 10:17:54.829 [http-nio-8081-exec-5] INFO  c.w.s.service.Impl.NotificationServiceImpl - 获得用户权限,0
2025-12-26 10:17:54.829 [http-nio-8081-exec-8] INFO  c.w.s.service.Impl.UserServiceImpl - 用户信息：User(userId=15, username=cocococo, password=123456, nickname=test, avatarUrl=null, permission=0, registeredTime=2025-12-26T10:17:44, updatedTime=2025-12-26T10:17:44, studentNumber=202212060111)
2025-12-26 10:17:54.829 [http-nio-8081-exec-6] INFO  c.w.s.service.Impl.UserServiceImpl - 反馈单,[]
2025-12-26 10:17:54.830 [http-nio-8081-exec-6] INFO  c.w.s.service.Impl.UserServiceImpl - 申请表,[]
2025-12-26 10:18:04.175 [http-nio-8081-exec-9] INFO  c.w.s.service.Impl.UserServiceImpl - 用户登录信息：User(userId=14, username=lzjlzj, password=123456, nickname=林同学很帅气, avatarUrl=https://shcoolsystem.oss-cn-beijing.aliyuncs.com/20123b68-2b40-4703-bdae-34cdbe24d3ce.webp, permission=0, registeredTime=2025-12-25T10:28:43, updatedTime=2025-12-25T10:34:37, studentNumber=202212060116)
2025-12-26 10:18:04.175 [http-nio-8081-exec-9] INFO  c.w.s.service.Impl.UserServiceImpl - claims:{id=14}
2025-12-26 10:18:04.239 [http-nio-8081-exec-2] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - 用户已登录，token:Bearer eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODcxNTQ4NH0.lCFjpYmGQ88kl1nmiQNqNhCr4Ll_V7FABFXHHhkY1tw
2025-12-26 10:18:04.239 [http-nio-8081-exec-10] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - 用户已登录，token:Bearer eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODcxNTQ4NH0.lCFjpYmGQ88kl1nmiQNqNhCr4Ll_V7FABFXHHhkY1tw
2025-12-26 10:18:04.239 [http-nio-8081-exec-2] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验:eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODcxNTQ4NH0.lCFjpYmGQ88kl1nmiQNqNhCr4Ll_V7FABFXHHhkY1tw
2025-12-26 10:18:04.239 [http-nio-8081-exec-1] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - 用户已登录，token:Bearer eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODcxNTQ4NH0.lCFjpYmGQ88kl1nmiQNqNhCr4Ll_V7FABFXHHhkY1tw
2025-12-26 10:18:04.239 [http-nio-8081-exec-10] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验:eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODcxNTQ4NH0.lCFjpYmGQ88kl1nmiQNqNhCr4Ll_V7FABFXHHhkY1tw
2025-12-26 10:18:04.239 [http-nio-8081-exec-1] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验:eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODcxNTQ4NH0.lCFjpYmGQ88kl1nmiQNqNhCr4Ll_V7FABFXHHhkY1tw
2025-12-26 10:18:04.239 [http-nio-8081-exec-2] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验成功:{id=14, exp=1838715484}
2025-12-26 10:18:04.239 [http-nio-8081-exec-10] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验成功:{id=14, exp=1838715484}
2025-12-26 10:18:04.239 [http-nio-8081-exec-1] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验成功:{id=14, exp=1838715484}
2025-12-26 10:18:04.240 [http-nio-8081-exec-10] INFO  c.w.s.service.Impl.UserServiceImpl - 用户信息：User(userId=14, username=lzjlzj, password=123456, nickname=林同学很帅气, avatarUrl=https://shcoolsystem.oss-cn-beijing.aliyuncs.com/20123b68-2b40-4703-bdae-34cdbe24d3ce.webp, permission=0, registeredTime=2025-12-25T10:28:43, updatedTime=2025-12-25T10:34:37, studentNumber=202212060116)
2025-12-26 10:18:04.242 [http-nio-8081-exec-2] INFO  c.w.s.service.Impl.NotificationServiceImpl - 获得用户权限,0
2025-12-26 10:18:04.244 [http-nio-8081-exec-1] INFO  c.w.s.service.Impl.UserServiceImpl - 反馈单,[ApplicationForm(id=34, title=意见反馈, content=部分专业课程内容更新滞后，未能及时反映行业最新发展与技术变革。跨学科选修课数量不足，选择有限，难以满足复合型人才培养需求。, status=0, createdTime=2025-12-23 23:39:53, updatedTime=null, type=1), ApplicationForm(id=39, title=意见反馈, content=设立创业基金、提供创业孵化空间和法律咨询，举办高质量的创业大赛。, status=0, createdTime=2025-12-25 09:46:02, updatedTime=null, type=1), ApplicationForm(id=41, title=意见反馈, content=开展季节性主题活动：如“校园观鸟导览”、“春季赏花地图”、“秋季落叶艺术创作”，让绿化成为校园文化的一部分。, status=0, createdTime=2025-12-25 10:56:22, updatedTime=null, type=1)]
2025-12-26 10:18:04.246 [http-nio-8081-exec-1] INFO  c.w.s.service.Impl.UserServiceImpl - 申请表,[ApplicationForm(id=17, title=宿舍调换, content=宿舍老是有人打游戏吵别人睡觉，很吵很吵，要的抑郁症了, status=2, createdTime=2025-12-25 10:44:11, updatedTime=2025-12-25 10:44:11, type=2), ApplicationForm(id=18, title=宿舍调换, content=协商不了，真的好吵, status=1, createdTime=2025-12-25 10:47:53, updatedTime=2025-12-25 10:47:53, type=2), ApplicationForm(id=19, title=宿舍调换, content=这个宿舍也吵得要命, status=0, createdTime=2025-12-25 10:48:38, updatedTime=2025-12-25 10:48:38, type=2)]
2025-12-26 10:18:10.300 [http-nio-8081-exec-6] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - 用户已登录，token:Bearer eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODcxNTQ4NH0.lCFjpYmGQ88kl1nmiQNqNhCr4Ll_V7FABFXHHhkY1tw
2025-12-26 10:18:10.300 [http-nio-8081-exec-6] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验:eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODcxNTQ4NH0.lCFjpYmGQ88kl1nmiQNqNhCr4Ll_V7FABFXHHhkY1tw
2025-12-26 10:18:10.300 [http-nio-8081-exec-6] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验成功:{id=14, exp=1838715484}
2025-12-26 10:18:10.303 [http-nio-8081-exec-6] INFO  c.w.s.service.Impl.UserServiceImpl - 用户信息：User(userId=14, username=lzjlzj, password=123456, nickname=林同学很帅气, avatarUrl=https://shcoolsystem.oss-cn-beijing.aliyuncs.com/20123b68-2b40-4703-bdae-34cdbe24d3ce.webp, permission=0, registeredTime=2025-12-25T10:28:43, updatedTime=2025-12-25T10:34:37, studentNumber=202212060116)
2025-12-26 10:18:29.759 [http-nio-8081-exec-8] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - 用户已登录，token:Bearer eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODcxNTQ4NH0.lCFjpYmGQ88kl1nmiQNqNhCr4Ll_V7FABFXHHhkY1tw
2025-12-26 10:18:29.760 [http-nio-8081-exec-8] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验:eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODcxNTQ4NH0.lCFjpYmGQ88kl1nmiQNqNhCr4Ll_V7FABFXHHhkY1tw
2025-12-26 10:18:29.761 [http-nio-8081-exec-8] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验成功:{id=14, exp=1838715484}
2025-12-26 10:18:29.768 [http-nio-8081-exec-8] INFO  c.w.s.controller.user.RepairsController - 上传的图片数量为:1
2025-12-26 10:18:29.768 [http-nio-8081-exec-8] INFO  c.w.s.controller.user.RepairsController - 提交预约时间,2025-12-26T10:182025-12-28T10:18
2025-12-26 10:18:29.769 [http-nio-8081-exec-8] INFO  c.w.s.service.Impl.RepairsServiceImpl - 图片数组20241028210426.jpg
2025-12-26 10:18:30.193 [http-nio-8081-exec-8] INFO  c.w.s.utils.AliOssUtil - 文件上传到:https://shcoolsystem.oss-cn-beijing.aliyuncs.com/e0952828-26a5-4dc9-bd2a-32e02f15906d.jpg
2025-12-26 10:18:30.193 [http-nio-8081-exec-8] INFO  c.w.s.service.Impl.RepairsServiceImpl - 图片字符串https://shcoolsystem.oss-cn-beijing.aliyuncs.com/e0952828-26a5-4dc9-bd2a-32e02f15906d.jpg
2025-12-26 10:18:34.759 [http-nio-8081-exec-9] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - 用户已登录，token:Bearer eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODcxNTQ4NH0.lCFjpYmGQ88kl1nmiQNqNhCr4Ll_V7FABFXHHhkY1tw
2025-12-26 10:18:34.759 [http-nio-8081-exec-7] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - 用户已登录，token:Bearer eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODcxNTQ4NH0.lCFjpYmGQ88kl1nmiQNqNhCr4Ll_V7FABFXHHhkY1tw
2025-12-26 10:18:34.759 [http-nio-8081-exec-10] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - 用户已登录，token:Bearer eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODcxNTQ4NH0.lCFjpYmGQ88kl1nmiQNqNhCr4Ll_V7FABFXHHhkY1tw
2025-12-26 10:18:34.759 [http-nio-8081-exec-9] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验:eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODcxNTQ4NH0.lCFjpYmGQ88kl1nmiQNqNhCr4Ll_V7FABFXHHhkY1tw
2025-12-26 10:18:34.759 [http-nio-8081-exec-7] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验:eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODcxNTQ4NH0.lCFjpYmGQ88kl1nmiQNqNhCr4Ll_V7FABFXHHhkY1tw
2025-12-26 10:18:34.759 [http-nio-8081-exec-10] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验:eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODcxNTQ4NH0.lCFjpYmGQ88kl1nmiQNqNhCr4Ll_V7FABFXHHhkY1tw
2025-12-26 10:18:34.759 [http-nio-8081-exec-1] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - 用户已登录，token:Bearer eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODcxNTQ4NH0.lCFjpYmGQ88kl1nmiQNqNhCr4Ll_V7FABFXHHhkY1tw
2025-12-26 10:18:34.759 [http-nio-8081-exec-1] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验:eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODcxNTQ4NH0.lCFjpYmGQ88kl1nmiQNqNhCr4Ll_V7FABFXHHhkY1tw
2025-12-26 10:18:34.759 [http-nio-8081-exec-1] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验成功:{id=14, exp=1838715484}
2025-12-26 10:18:34.759 [http-nio-8081-exec-7] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验成功:{id=14, exp=1838715484}
2025-12-26 10:18:34.759 [http-nio-8081-exec-9] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验成功:{id=14, exp=1838715484}
2025-12-26 10:18:34.759 [http-nio-8081-exec-10] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验成功:{id=14, exp=1838715484}
2025-12-26 10:18:34.761 [http-nio-8081-exec-7] INFO  c.w.s.service.Impl.UserServiceImpl - 用户信息：User(userId=14, username=lzjlzj, password=123456, nickname=林同学很帅气, avatarUrl=https://shcoolsystem.oss-cn-beijing.aliyuncs.com/20123b68-2b40-4703-bdae-34cdbe24d3ce.webp, permission=0, registeredTime=2025-12-25T10:28:43, updatedTime=2025-12-25T10:34:37, studentNumber=202212060116)
2025-12-26 10:18:34.765 [http-nio-8081-exec-1] INFO  c.w.s.controller.user.LostAndFoundController - 获取失物招领列表,
2025-12-26 10:18:37.143 [http-nio-8081-exec-2] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - 用户已登录，token:Bearer eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODcxNTQ4NH0.lCFjpYmGQ88kl1nmiQNqNhCr4Ll_V7FABFXHHhkY1tw
2025-12-26 10:18:37.143 [http-nio-8081-exec-2] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验:eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODcxNTQ4NH0.lCFjpYmGQ88kl1nmiQNqNhCr4Ll_V7FABFXHHhkY1tw
2025-12-26 10:18:37.143 [http-nio-8081-exec-2] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验成功:{id=14, exp=1838715484}
2025-12-26 10:18:37.144 [http-nio-8081-exec-2] INFO  c.w.s.controller.user.LostAndFoundController - 获取失物招领列表,
2025-12-26 10:18:37.323 [http-nio-8081-exec-3] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - 用户已登录，token:Bearer eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODcxNTQ4NH0.lCFjpYmGQ88kl1nmiQNqNhCr4Ll_V7FABFXHHhkY1tw
2025-12-26 10:18:37.324 [http-nio-8081-exec-3] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验:eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODcxNTQ4NH0.lCFjpYmGQ88kl1nmiQNqNhCr4Ll_V7FABFXHHhkY1tw
2025-12-26 10:18:37.324 [http-nio-8081-exec-3] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验成功:{id=14, exp=1838715484}
2025-12-26 10:18:40.650 [http-nio-8081-exec-4] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - 用户已登录，token:Bearer eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODcxNTQ4NH0.lCFjpYmGQ88kl1nmiQNqNhCr4Ll_V7FABFXHHhkY1tw
2025-12-26 10:18:40.650 [http-nio-8081-exec-4] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验:eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODcxNTQ4NH0.lCFjpYmGQ88kl1nmiQNqNhCr4Ll_V7FABFXHHhkY1tw
2025-12-26 10:18:40.651 [http-nio-8081-exec-4] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验成功:{id=14, exp=1838715484}
2025-12-26 10:18:40.651 [http-nio-8081-exec-4] INFO  c.w.s.controller.user.LostAndFoundController - 获取失物招领列表,
2025-12-26 10:18:42.399 [http-nio-8081-exec-6] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - 用户已登录，token:Bearer eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODcxNTQ4NH0.lCFjpYmGQ88kl1nmiQNqNhCr4Ll_V7FABFXHHhkY1tw
2025-12-26 10:18:42.399 [http-nio-8081-exec-6] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验:eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODcxNTQ4NH0.lCFjpYmGQ88kl1nmiQNqNhCr4Ll_V7FABFXHHhkY1tw
2025-12-26 10:18:42.399 [http-nio-8081-exec-6] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验成功:{id=14, exp=1838715484}
2025-12-26 10:18:42.399 [http-nio-8081-exec-6] INFO  c.w.s.controller.user.LostAndFoundController - 获取失物招领列表,
2025-12-26 10:18:45.702 [http-nio-8081-exec-8] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - 用户已登录，token:Bearer eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODcxNTQ4NH0.lCFjpYmGQ88kl1nmiQNqNhCr4Ll_V7FABFXHHhkY1tw
2025-12-26 10:18:45.703 [http-nio-8081-exec-8] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验:eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODcxNTQ4NH0.lCFjpYmGQ88kl1nmiQNqNhCr4Ll_V7FABFXHHhkY1tw
2025-12-26 10:18:45.705 [http-nio-8081-exec-8] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验成功:{id=14, exp=1838715484}
2025-12-26 10:18:45.706 [http-nio-8081-exec-8] INFO  c.w.s.controller.user.LostAndFoundController - 获取失物招领列表,
